1,2,3,4,5,6,7,label
2,3,44,5,66,5,44,1
3,44,56,43,23,44,5,2
98,89,89,5,5,5,4,51
91,79,79,37,40,99,100,0
7,7,8,6,20,64,100,0
44,100,52,60,51,87,86,1
89,38,66,90,76,100,81,1
12,22,17,8,30,48,100,1
65,100,47,47,55,67,75,2
16,19,16,15,13,29,100,2
14,11,11,9,17,54,100,2
22,56,36,24,23,100,71,3
66,49,49,33,38,44,100,3
21,22,14,13,23,73,100,3
19,29,19,18,100,75,46,4
83,72,71,59,63,84,100,4
17,19,12,11,22,54,100,4
64,98,67,60,64,100,84,5
21,18,20,16,100,41,27,5
15,11,13,14,24,54,100,5
55,100,58,39,48,61,60,6
20,14,15,12,12,100,53,6
10,7,7,7,31,70,100,6
48,100,92,50,64,39,46,7